team_home,team_away,goals_home,goals_away,fifa_rank_home,fifa_rank_away,elo_home,elo_away,form_home,form_away,goals_scored_avg_home,goals_scored_avg_away,goals_conceded_avg_home,goals_conceded_avg_away,home_average_age,away_average_age,home_market_value,away_market_value,result
Japan,Spain,0,1,15,5,1802,1998,5,4,1.29,1.37,1.23,0.84,26.8,25.9,1097.9,603.9,2
Canada,Uruguay,1,2,20,11,1699,1888,4,4,1.0,1.27,1.35,1.12,29.1,29.2,909.6,812.0,2
Senegal,USA,1,1,17,14,1750,1833,2,4,1.87,2.01,1.08,1.11,26.9,26.0,776.7,896.0,2
Morocco,Japan,1,1,16,15,1769,1802,2,5,1.56,1.29,0.78,1.23,28.7,26.8,422.3,1097.9,0
Senegal,Morocco,1,3,17,16,1750,1769,2,2,1.87,1.56,1.08,0.78,26.9,28.7,776.7,422.3,2
Italy,Belgium,2,2,10,8,1906,1926,2,2,1.29,1.73,1.54,1.4,27.8,28.7,436.9,993.2,0
Uruguay,South Korea,2,2,11,18,1888,1739,4,2,1.27,1.58,1.12,1.57,29.2,28.0,812.0,391.6,1
Spain,Portugal,1,2,5,7,1998,1974,4,4,1.37,1.42,0.84,1.2,25.9,27.6,603.9,863.7,1
USA,Brazil,1,2,14,2,1833,2066,4,5,2.01,1.81,1.11,1.19,26.0,25.6,896.0,375.0,1
Australia,Argentina,0,1,19,1,1733,2085,4,3,1.59,1.12,0.94,1.37,25.9,26.3,647.8,889.2,2
Argentina,Croatia,0,0,1,12,2085,1862,3,2,1.12,1.24,1.37,0.99,26.3,26.3,889.2,325.7,0
USA,South Korea,0,3,14,18,1833,1739,4,2,2.01,1.58,1.11,1.57,26.0,28.0,896.0,391.6,2
Belgium,Morocco,1,1,8,16,1926,1769,2,2,1.73,1.56,1.4,0.78,28.7,28.7,993.2,422.3,1
Uruguay,Mexico,2,2,11,13,1888,1835,4,4,1.27,1.44,1.12,0.76,29.2,26.3,812.0,699.4,2
Canada,South Korea,1,1,20,18,1699,1739,4,2,1.0,1.58,1.35,1.57,29.1,28.0,909.6,391.6,1
Argentina,France,2,2,1,3,2085,2032,3,3,1.12,1.56,1.37,0.72,26.3,28.1,889.2,861.1,2
Brazil,Netherlands,2,2,2,9,2066,1917,5,4,1.81,1.31,1.19,1.27,25.6,26.1,375.0,584.2,0
Portugal,Japan,1,1,7,15,1974,1802,4,5,1.42,1.29,1.2,1.23,27.6,26.8,863.7,1097.9,0
USA,Netherlands,0,1,14,9,1833,1917,4,4,2.01,1.31,1.11,1.27,26.0,26.1,896.0,584.2,2
Brazil,Croatia,2,3,2,12,2066,1862,5,2,1.81,1.24,1.19,0.99,25.6,26.3,375.0,325.7,1
Brazil,Argentina,1,2,2,1,2066,2085,5,3,1.81,1.12,1.19,1.37,25.6,26.3,375.0,889.2,2
Spain,Belgium,2,1,5,8,1998,1926,4,2,1.37,1.73,0.84,1.4,25.9,28.7,603.9,993.2,1
Portugal,Japan,1,1,7,15,1974,1802,4,5,1.42,1.29,1.2,1.23,27.6,26.8,863.7,1097.9,2
Canada,England,2,1,20,4,1699,2018,4,2,1.0,1.24,1.35,1.23,29.1,28.3,909.6,427.7,2
Australia,Argentina,0,2,19,1,1733,2085,4,3,1.59,1.12,0.94,1.37,25.9,26.3,647.8,889.2,2
Mexico,Canada,1,1,13,20,1835,1699,4,4,1.44,1.0,0.76,1.35,26.3,29.1,699.4,909.6,2
Belgium,England,1,2,8,4,1926,2018,2,2,1.73,1.24,1.4,1.23,28.7,28.3,993.2,427.7,2
England,Australia,1,3,4,19,2018,1733,2,4,1.24,1.59,1.23,0.94,28.3,25.9,427.7,647.8,2
