stage,group,home_team,away_team,home_goals,away_goals,winner,points,goals_for,goals_against,goal_difference
Round of 32,,Croatia,Bosnia and Herzegovina,1,0,Croatia,,,,
Round of 32,,Portugal,Haiti,1,1,Portugal,,,,
Round of 32,,Austria,Sweden,2,1,Austria,,,,
Round of 32,,Senegal,New Zealand,1,1,Senegal,,,,
Round of 32,,Spain,Uruguay,1,2,Uruguay,,,,
Round of 32,,Belgium,Iraq,1,0,Belgium,,,,
Round of 32,,Netherlands,Argentina,2,2,Argentina,,,,
Round of 32,,Germany,Panama,2,1,Germany,,,,
Round of 32,,United States,South Korea,1,1,South Korea,,,,
Round of 32,,Brazil,Switzerland,1,1,Switzerland,,,,
Round of 32,,Canada,Morocco,1,1,Morocco,,,,
Round of 32,,Mexico,Australia,2,2,Australia,,,,
Round of 32,,England,Curaçao,1,2,Curaçao,,,,
Round of 32,,Colombia,Japan,1,1,Colombia,,,,
Round of 32,,Algeria,Iran,1,2,Iran,,,,
Round of 32,,France,Cape Verde,1,1,France,,,,
Round of 16,,Croatia,Portugal,1,2,Portugal,,,,
Round of 16,,Austria,Senegal,1,2,Senegal,,,,
Round of 16,,Uruguay,Belgium,2,2,Uruguay,,,,
Round of 16,,Argentina,Germany,2,2,Argentina,,,,
Round of 16,,South Korea,Switzerland,1,2,Switzerland,,,,
Round of 16,,Morocco,Australia,1,2,Australia,,,,
Round of 16,,Curaçao,Colombia,2,1,Curaçao,,,,
Round of 16,,Iran,France,0,1,France,,,,
Quarterfinals,,Portugal,Senegal,1,1,Portugal,,,,
Quarterfinals,,Uruguay,Argentina,1,0,Uruguay,,,,
Quarterfinals,,Switzerland,Australia,1,2,Australia,,,,
Quarterfinals,,Curaçao,France,0,1,France,,,,
Semifinals,,Portugal,Uruguay,2,2,Portugal,,,,
Semifinals,,Australia,France,2,1,Australia,,,,
Final,,Portugal,Australia,2,1,Portugal,,,,
