team_home,team_away,goals_home,goals_away,result,date,source
Wales,Northern Ireland,11.0,0.0,1.0,1888-03-03,international_results
Scotland,Wales,5.0,1.0,1.0,1888-03-10,international_results
Scotland,England,0.0,5.0,2.0,1888-03-17,international_results
Northern Ireland,Scotland,2.0,10.0,2.0,1888-03-24,international_results
Northern Ireland,England,1.0,5.0,2.0,1888-04-07,international_results
Scotland,Canada,4.0,0.0,1.0,1888-09-19,international_results
England,Wales,4.0,1.0,1.0,1889-02-23,international_results
England,Northern Ireland,6.0,1.0,1.0,1889-03-02,international_results
Scotland,Northern Ireland,7.0,0.0,1.0,1889-03-09,international_results
England,Scotland,2.0,3.0,2.0,1889-04-13,international_results
Wales,Scotland,0.0,0.0,0.0,1889-04-15,international_results
Northern Ireland,Wales,1.0,3.0,2.0,1889-04-27,international_results
Wales,Northern Ireland,5.0,2.0,1.0,1890-02-08,international_results
Northern Ireland,England,1.0,9.0,2.0,1890-03-15,international_results
Wales,England,1.0,3.0,2.0,1890-03-15,international_results
Scotland,Wales,5.0,0.0,1.0,1890-03-22,international_results
Northern Ireland,Scotland,1.0,4.0,2.0,1890-03-29,international_results
Scotland,England,1.0,1.0,0.0,1890-04-05,international_results
Northern Ireland,Wales,7.0,2.0,1.0,1891-02-07,international_results
England,Wales,4.0,1.0,1.0,1891-03-07,international_results
England,Northern Ireland,6.0,1.0,1.0,1891-03-07,international_results
Wales,Scotland,3.0,4.0,2.0,1891-03-21,international_results
Scotland,Northern Ireland,2.0,1.0,1.0,1891-03-28,international_results
England,Scotland,2.0,1.0,1.0,1891-04-04,international_results
Wales,Northern Ireland,1.0,1.0,0.0,1892-02-27,international_results
Northern Ireland,England,0.0,2.0,2.0,1892-03-05,international_results
Wales,England,0.0,2.0,2.0,1892-03-05,international_results
Northern Ireland,Scotland,2.0,3.0,2.0,1892-03-19,international_results
Scotland,Wales,6.0,1.0,1.0,1892-03-26,international_results
Scotland,England,1.0,4.0,2.0,1892-04-02,international_results
England,Northern Ireland,6.0,1.0,1.0,1893-02-25,international_results
England,Wales,6.0,0.0,1.0,1893-03-13,international_results
Wales,Scotland,0.0,8.0,2.0,1893-03-18,international_results
Scotland,Northern Ireland,6.0,1.0,1.0,1893-03-25,international_results
England,Scotland,5.0,2.0,1.0,1893-04-01,international_results
Wales,Northern Ireland,4.0,1.0,1.0,1894-02-24,international_results
Northern Ireland,England,2.0,2.0,0.0,1894-03-03,international_results
Wales,England,1.0,5.0,2.0,1894-03-12,international_results
Scotland,Wales,5.0,2.0,1.0,1894-03-24,international_results
Northern Ireland,Scotland,1.0,2.0,2.0,1894-03-31,international_results
Scotland,England,2.0,2.0,0.0,1894-04-07,international_results
England,Northern Ireland,9.0,0.0,1.0,1895-03-09,international_results
Northern Ireland,Wales,2.0,2.0,0.0,1895-03-16,international_results
England,Wales,1.0,1.0,0.0,1895-03-18,international_results
Wales,Scotland,2.0,2.0,0.0,1895-03-23,international_results
Scotland,Northern Ireland,3.0,1.0,1.0,1895-03-30,international_results
England,Scotland,3.0,0.0,1.0,1895-04-06,international_results
Wales,Northern Ireland,6.0,1.0,1.0,1896-02-29,international_results
Northern Ireland,England,0.0,2.0,2.0,1896-03-07,international_results
Wales,England,1.0,9.0,2.0,1896-03-16,international_results
Scotland,Wales,4.0,0.0,1.0,1896-03-21,international_results
Northern Ireland,Scotland,3.0,3.0,0.0,1896-03-28,international_results
Scotland,England,2.0,1.0,1.0,1896-04-04,international_results
England,Northern Ireland,6.0,0.0,1.0,1897-02-20,international_results
Northern Ireland,Wales,4.0,3.0,1.0,1897-03-06,international_results
Wales,Scotland,2.0,2.0,0.0,1897-03-20,international_results
Scotland,Northern Ireland,5.0,1.0,1.0,1897-03-27,international_results
England,Wales,4.0,0.0,1.0,1897-03-29,international_results
England,Scotland,1.0,2.0,2.0,1897-04-03,international_results
Wales,Northern Ireland,0.0,1.0,2.0,1898-02-19,international_results
Northern Ireland,England,2.0,3.0,2.0,1898-03-05,international_results
Scotland,Wales,5.0,2.0,1.0,1898-03-19,international_results
Northern Ireland,Scotland,0.0,3.0,2.0,1898-03-26,international_results
Wales,England,0.0,3.0,2.0,1898-03-28,international_results
Scotland,England,1.0,3.0,2.0,1898-04-02,international_results
England,Northern Ireland,13.0,2.0,1.0,1899-02-18,international_results
Northern Ireland,Wales,1.0,0.0,1.0,1899-03-04,international_results
Wales,Scotland,0.0,6.0,2.0,1899-03-18,international_results
England,Wales,4.0,0.0,1.0,1899-03-20,international_results
Scotland,Northern Ireland,9.0,1.0,1.0,1899-03-25,international_results
England,Scotland,2.0,1.0,1.0,1899-04-08,international_results
Scotland,Wales,5.0,2.0,1.0,1900-02-03,international_results
Wales,Northern Ireland,2.0,0.0,1.0,1900-02-24,international_results
Northern Ireland,Scotland,0.0,3.0,2.0,1900-03-03,international_results
Northern Ireland,England,0.0,2.0,2.0,1900-03-17,international_results
Wales,England,1.0,1.0,0.0,1900-03-26,international_results
Scotland,England,4.0,1.0,1.0,1900-04-07,international_results
Scotland,Northern Ireland,11.0,0.0,1.0,1901-02-23,international_results
Wales,Scotland,1.0,1.0,0.0,1901-03-02,international_results
England,Northern Ireland,3.0,0.0,1.0,1901-03-09,international_results
England,Wales,6.0,0.0,1.0,1901-03-18,international_results
Northern Ireland,Wales,0.0,1.0,2.0,1901-03-23,international_results
England,Scotland,2.0,2.0,0.0,1901-03-30,international_results
Wales,Northern Ireland,0.0,3.0,2.0,1902-02-22,international_results
Northern Ireland,Scotland,1.0,5.0,2.0,1902-03-01,international_results
Wales,England,0.0,0.0,0.0,1902-03-03,international_results
Scotland,Wales,5.0,1.0,1.0,1902-03-15,international_results
Northern Ireland,England,0.0,1.0,2.0,1902-03-22,international_results
England,Scotland,2.0,2.0,0.0,1902-05-03,international_results
Uruguay,Argentina,0.0,6.0,2.0,1902-07-20,international_results
Austria,Hungary,5.0,0.0,1.0,1902-10-12,international_results
England,Northern Ireland,4.0,0.0,1.0,1903-02-14,international_results
England,Wales,2.0,1.0,1.0,1903-03-02,international_results
Wales,Scotland,0.0,1.0,2.0,1903-03-09,international_results
Scotland,Northern Ireland,0.0,2.0,2.0,1903-03-21,international_results
Northern Ireland,Wales,2.0,0.0,1.0,1903-03-28,international_results
England,Scotland,1.0,2.0,2.0,1903-04-04,international_results
Hungary,Czechoslovakia,2.0,1.0,1.0,1903-04-05,international_results
Hungary,Austria,3.0,2.0,1.0,1903-06-11,international_results
Argentina,Uruguay,2.0,3.0,2.0,1903-09-13,international_results
Austria,Hungary,4.0,2.0,1.0,1903-10-11,international_results
Wales,England,2.0,2.0,0.0,1904-02-29,international_results
Northern Ireland,England,1.0,3.0,2.0,1904-03-12,international_results
Scotland,Wales,1.0,1.0,0.0,1904-03-12,international_results
Wales,Northern Ireland,0.0,1.0,2.0,1904-03-21,international_results
Northern Ireland,Scotland,1.0,1.0,0.0,1904-03-26,international_results
Scotland,England,0.0,1.0,2.0,1904-04-09,international_results
Belgium,France,3.0,3.0,0.0,1904-05-01,international_results
Hungary,Austria,3.0,0.0,1.0,1904-06-02,international_results
Austria,Hungary,5.0,4.0,1.0,1904-10-09,international_results
France,Switzerland,1.0,0.0,1.0,1905-02-12,international_results
England,Northern Ireland,1.0,1.0,0.0,1905-02-25,international_results
Wales,Scotland,3.0,1.0,1.0,1905-03-06,international_results
Scotland,Northern Ireland,4.0,0.0,1.0,1905-03-18,international_results
England,Wales,3.0,1.0,1.0,1905-03-27,international_results
England,Scotland,1.0,0.0,1.0,1905-04-01,international_results
Northern Ireland,Wales,2.0,2.0,0.0,1905-04-08,international_results
Hungary,Austria,0.0,0.0,0.0,1905-04-09,international_results
Guernsey,Alderney,6.0,0.0,1.0,1905-04-17,international_results
Jersey,Guernsey,0.0,1.0,2.0,1905-04-27,international_results
Belgium,Netherlands,1.0,4.0,2.0,1905-04-30,international_results
Belgium,France,7.0,0.0,1.0,1905-05-07,international_results
Netherlands,Belgium,4.0,0.0,1.0,1905-05-14,international_results
Guyana,Trinidad and Tobago,1.0,4.0,2.0,1905-07-21,international_results
Argentina,Uruguay,0.0,0.0,0.0,1905-08-15,international_results
Northern Ireland,England,0.0,5.0,2.0,1906-02-17,international_results
Scotland,Wales,0.0,2.0,2.0,1906-03-03,international_results
Northern Ireland,Scotland,0.0,1.0,2.0,1906-03-17,international_results
Wales,England,0.0,1.0,2.0,1906-03-19,international_results
Jersey,Guernsey,1.0,2.0,2.0,1906-03-29,international_results
Hungary,Czechoslovakia,1.0,1.0,0.0,1906-04-01,international_results
Wales,Northern Ireland,4.0,4.0,0.0,1906-04-02,international_results
Guernsey,Alderney,1.0,0.0,1.0,1906-04-02,international_results
Scotland,England,2.0,1.0,1.0,1906-04-07,international_results
France,Belgium,0.0,5.0,2.0,1906-04-22,international_results
Belgium,Netherlands,5.0,0.0,1.0,1906-04-29,international_results
Netherlands,Belgium,2.0,3.0,2.0,1906-05-13,international_results
Argentina,South Africa,0.0,1.0,2.0,1906-07-09,international_results
Uruguay,Argentina,0.0,2.0,2.0,1906-08-15,international_results
Czechoslovakia,Hungary,4.0,4.0,0.0,1906-10-07,international_results
Argentina,Uruguay,2.0,1.0,1.0,1906-10-21,international_results
Hungary,Austria,3.0,1.0,1.0,1906-11-04,international_results
England,Northern Ireland,1.0,0.0,1.0,1907-02-16,international_results
Northern Ireland,Wales,2.0,3.0,2.0,1907-02-23,international_results
Wales,Scotland,1.0,0.0,1.0,1907-03-04,international_results
Scotland,Northern Ireland,3.0,0.0,1.0,1907-03-16,international_results
England,Wales,1.0,1.0,0.0,1907-03-18,international_results
Alderney,Jersey,1.0,2.0,2.0,1907-03-21,international_results
Jersey,Guernsey,2.0,3.0,2.0,1907-04-04,international_results
England,Scotland,1.0,1.0,0.0,1907-04-06,international_results
Hungary,Czechoslovakia,5.0,2.0,1.0,1907-04-07,international_results
Belgium,Netherlands,1.0,3.0,2.0,1907-04-14,international_results
Belgium,France,1.0,2.0,2.0,1907-04-21,international_results
Austria,Hungary,3.0,1.0,1.0,1907-05-05,international_results
Netherlands,Belgium,1.0,2.0,2.0,1907-05-09,international_results
Czechoslovakia,Hungary,5.0,3.0,1.0,1907-10-06,international_results
Hungary,Austria,4.0,1.0,1.0,1907-11-03,international_results
Northern Ireland,England,1.0,3.0,2.0,1908-02-15,international_results
Scotland,Wales,2.0,1.0,1.0,1908-03-07,international_results
Switzerland,France,1.0,2.0,2.0,1908-03-08,international_results
Northern Ireland,Scotland,0.0,5.0,2.0,1908-03-14,international_results
Wales,England,1.0,7.0,2.0,1908-03-16,international_results
Belgium,Netherlands,1.0,4.0,2.0,1908-03-29,international_results
Guernsey,Alderney,3.0,0.0,1.0,1908-04-02,international_results
Scotland,England,1.0,1.0,0.0,1908-04-04,international_results
Hungary,Czechoslovakia,5.0,2.0,1.0,1908-04-05,international_results
Switzerland,Germany,5.0,3.0,1.0,1908-04-05,international_results
Guernsey,Jersey,0.0,4.0,2.0,1908-04-09,international_results
Wales,Northern Ireland,0.0,1.0,2.0,1908-04-11,international_results
France,Belgium,1.0,2.0,2.0,1908-04-12,international_results
Netherlands,Belgium,3.0,1.0,1.0,1908-04-26,international_results
Austria,Hungary,4.0,0.0,1.0,1908-05-03,international_results
Netherlands,France,4.0,1.0,1.0,1908-05-10,international_results
Austria,England,1.0,6.0,2.0,1908-06-06,international_results
Austria,Germany,3.0,2.0,1.0,1908-06-07,international_results
Austria,England,1.0,11.0,2.0,1908-06-08,international_results
Hungary,England,0.0,7.0,2.0,1908-06-10,international_results
Czechoslovakia,England,0.0,4.0,2.0,1908-06-13,international_results
Sweden,Norway,11.0,3.0,1.0,1908-07-12,international_results
Uruguay,Argentina,2.0,2.0,0.0,1908-08-15,international_results
Argentina,Uruguay,2.0,1.0,1.0,1908-09-13,international_results
Argentina,Uruguay,0.0,1.0,2.0,1908-10-04,international_results
France,Denmark,1.0,17.0,2.0,1908-10-22,international_results
Netherlands,Sweden,2.0,0.0,1.0,1908-10-23,international_results
Netherlands,Sweden,5.0,3.0,1.0,1908-10-25,international_results
Belgium,Sweden,2.0,1.0,1.0,1908-10-26,international_results
Hungary,Austria,5.0,3.0,1.0,1908-11-01,international_results
England,Northern Ireland,4.0,0.0,1.0,1909-02-13,international_results
Wales,Scotland,3.0,2.0,1.0,1909-03-01,international_results
England,Wales,2.0,0.0,1.0,1909-03-15,international_results
Scotland,Northern Ireland,5.0,0.0,1.0,1909-03-15,international_results
Guernsey,Jersey,3.0,0.0,1.0,1909-03-18,international_results
Northern Ireland,Wales,2.0,3.0,2.0,1909-03-20,international_results
Belgium,Netherlands,1.0,4.0,2.0,1909-03-21,international_results
Guernsey,Alderney,2.0,0.0,1.0,1909-03-25,international_results
England,Scotland,2.0,0.0,1.0,1909-04-03,international_results
Germany,Switzerland,1.0,0.0,1.0,1909-04-04,international_results
Hungary,Germany,3.0,3.0,0.0,1909-04-04,international_results
Netherlands,Belgium,4.0,1.0,1.0,1909-04-25,international_results
Austria,Hungary,3.0,4.0,2.0,1909-05-02,international_results
Belgium,France,5.0,2.0,1.0,1909-05-09,international_results
Hungary,England,2.0,4.0,2.0,1909-05-29,international_results
Hungary,Austria,1.0,1.0,0.0,1909-05-30,international_results
Hungary,England,2.0,8.0,2.0,1909-05-31,international_results
Austria,England,1.0,8.0,2.0,1909-06-01,international_results
Argentina,Uruguay,2.0,1.0,1.0,1909-08-15,international_results
Uruguay,Argentina,2.0,2.0,0.0,1909-09-19,international_results
Argentina,Uruguay,3.0,1.0,1.0,1909-10-10,international_results
Hungary,Austria,2.0,2.0,0.0,1909-11-07,international_results
Northern Ireland,England,1.0,1.0,0.0,1910-02-12,international_results
Scotland,Wales,1.0,0.0,1.0,1910-03-05,international_results
Belgium,Netherlands,3.0,2.0,1.0,1910-03-13,international_results
Wales,England,0.0,1.0,2.0,1910-03-14,international_results
Northern Ireland,Scotland,1.0,0.0,1.0,1910-03-19,international_results
Scotland,England,2.0,0.0,1.0,1910-04-02,international_results
France,Belgium,0.0,4.0,2.0,1910-04-03,international_results
Switzerland,Germany,2.0,3.0,2.0,1910-04-03,international_results
Jersey,Alderney,7.0,1.0,1.0,1910-04-07,international_results
Netherlands,Belgium,7.0,0.0,1.0,1910-04-10,international_results
Wales,Northern Ireland,4.0,1.0,1.0,1910-04-11,international_results
Guernsey,Jersey,2.0,3.0,2.0,1910-04-21,international_results
Netherlands,Germany,4.0,2.0,1.0,1910-04-24,international_results
Austria,Hungary,2.0,1.0,1.0,1910-05-01,international_results
Italy,France,6.0,2.0,1.0,1910-05-15,international_results
Germany,Belgium,0.0,3.0,2.0,1910-05-16,international_results
Hungary,Italy,6.0,1.0,1.0,1910-05-26,international_results
Argentina,Chile,3.0,1.0,1.0,1910-05-27,international_results
Chile,Uruguay,0.0,3.0,2.0,1910-05-29,international_results
Argentina,Chile,5.0,1.0,1.0,1910-06-05,international_results
Argentina,Uruguay,4.0,1.0,1.0,1910-06-12,international_results
Uruguay,Argentina,3.0,1.0,1.0,1910-08-15,international_results
Chile,Argentina,0.0,3.0,2.0,1910-09-11,international_results
Norway,Sweden,0.0,4.0,2.0,1910-09-11,international_results
Germany,Netherlands,1.0,2.0,2.0,1910-10-16,international_results
Russia,Czechoslovakia,5.0,4.0,1.0,1910-10-16,international_results
Russia,Czechoslovakia,1.0,0.0,1.0,1910-10-23,international_results
Hungary,Austria,3.0,0.0,1.0,1910-11-06,international_results
Argentina,Uruguay,1.0,1.0,0.0,1910-11-13,international_results
Argentina,Uruguay,2.0,6.0,2.0,1910-11-27,international_results
France,Hungary,0.0,3.0,2.0,1911-01-01,international_results
Italy,Hungary,0.0,1.0,2.0,1911-01-06,international_results
Switzerland,Hungary,2.0,0.0,1.0,1911-01-08,international_results
Northern Ireland,Wales,1.0,2.0,2.0,1911-01-28,international_results
England,Northern Ireland,2.0,1.0,1.0,1911-02-11,international_results
Wales,Scotland,2.0,2.0,0.0,1911-03-06,international_results
England,Wales,3.0,0.0,1.0,1911-03-13,international_results
Scotland,Northern Ireland,2.0,0.0,1.0,1911-03-18,international_results
Belgium,Netherlands,1.0,5.0,2.0,1911-03-19,international_results
Germany,Switzerland,6.0,2.0,1.0,1911-03-26,international_results
England,Scotland,1.0,1.0,0.0,1911-04-01,international_results
Netherlands,Belgium,3.0,1.0,1.0,1911-04-02,international_results
France,Italy,2.0,2.0,0.0,1911-04-09,international_results
Guernsey,Alderney,2.0,1.0,1.0,1911-04-20,international_results
Belgium,Germany,2.0,1.0,1.0,1911-04-23,international_results
Switzerland,France,5.0,2.0,1.0,1911-04-23,international_results
Jersey,Guernsey,4.0,1.0,1.0,1911-04-27,international_results
Belgium,France,7.0,1.0,1.0,1911-04-30,international_results
Austria,Hungary,3.0,1.0,1.0,1911-05-07,international_results
Italy,Switzerland,2.0,2.0,0.0,1911-05-07,international_results
Switzerland,Italy,3.0,0.0,1.0,1911-05-21,international_results
Sweden,Germany,2.0,4.0,2.0,1911-06-18,international_results
Argentina,Uruguay,0.0,2.0,2.0,1911-08-15,international_results
Sweden,Norway,4.0,1.0,1.0,1911-09-17,international_results
